0.0 1:2.5409582164	 2:-0.494732963877	 3:-1.05800922348	 
0.0 1:3.13069107354	 2:-0.715366376323	 3:-1.15256202788	 
0.0 1:3.11139979684	 2:-0.535590227058	 3:-1.04808187447	 
0.0 1:3.09325574374	 2:-0.311276342788	 3:-0.998691681387	 
0.0 1:3.07511805106	 2:-0.0821565976321	 3:-0.953641511746	 
0.0 1:3.05584585563	 2:0.112037134286	 3:-0.862181428663	 
0.0 1:3.03476448438	 2:0.244493931904	 3:-0.691365982473	 
0.0 1:3.01336400781	 2:0.356392227365	 3:-0.497996564878	 
0.0 1:2.99501266798	 2:0.560088650804	 3:-0.427528016781	 
0.0 1:2.98546834941	 2:0.773621213388	 3:-0.486095939323	 
0.0 1:2.97952670637	 2:0.965867500908	 3:-0.575049688969	 
0.0 1:2.97366612256	 2:1.15943972555	 3:-0.666284398689	 
0.0 1:2.96703345692	 2:1.3720890376	 3:-0.763852998173	 
0.0 1:2.95754999457	 2:1.58718077809	 3:-0.824632258778	 
0.0 1:2.94058331365	 2:1.69508208097	 3:-0.688305159257	 
0.0 1:2.91994699449	 2:1.71543564948	 3:-0.424360726466	 
0.0 1:2.90169062188	 2:1.70934331517	 3:-0.169529596589	 
0.0 1:2.88716005433	 2:1.68766100819	 3:0.0481922209208	 
0.0 1:2.87577414781	 2:1.64065784352	 3:0.245356680041	 
0.0 1:2.86694479397	 2:1.55966120974	 3:0.437674331979	 
0.0 1:2.86007002845	 2:1.44946201597	 3:0.629130016227	 
0.0 1:2.85453872803	 2:1.32375059637	 3:0.815957843844	 
0.0 1:2.84973626078	 2:1.19632952846	 3:0.994340531756	 
0.0 1:2.84465602184	 2:1.07561665552	 3:1.17058179581	 
0.0 1:2.83754472929	 2:0.959651709317	 3:1.37037179426	 
0.0 1:2.83068369029	 2:0.837879255329	 3:1.57188210539	 
0.0 1:2.83654668905	 2:0.68247083644	 3:1.6293093821	 
0.0 1:2.85740084263	 2:0.502583759052	 3:1.50357358217	 
0.0 1:2.88538093763	 2:0.341351820472	 3:1.26396546023	 
0.0 1:2.91099881124	 2:0.230742657948	 3:1.01183226324	 
0.0 1:2.92022477725	 2:0.158419398134	 3:0.949781614479	 
0.0 1:2.90979046093	 2:0.0964875098726	 3:1.14715606975	 
0.0 1:2.89569427203	 2:0.00797961246558	 3:1.41808262611	 
