0.0 1:2.67893773397	 2:-0.335931397202	 3:-1.06566498676	 
0.0 1:2.66784487617	 2:-0.135250504364	 3:-1.06119390364	 
0.0 1:2.65619877556	 2:0.0553113231144	 3:-1.04960696241	 
0.0 1:2.64175729252	 2:0.231690818514	 3:-1.01471809399	 
0.0 1:2.62232000629	 2:0.390833970464	 3:-0.940962132639	 
0.0 1:2.59833221602	 2:0.536458392832	 3:-0.832550466862	 
0.0 1:2.5719774984	 2:0.676730758402	 3:-0.706687976675	 
0.0 1:2.54546984354	 2:0.819895582057	 3:-0.580806880217	 
0.0 1:2.52143759563	 2:0.973800704974	 3:-0.474937635129	 
0.0 1:2.50447302483	 2:1.14441384239	 3:-0.421425650489	 
0.0 1:3.0301369786	 2:-0.725623501672	 3:-1.07847927478	 
0.0 1:3.00019106977	 2:-0.917348086814	 3:-1.00798458762	 
0.0 1:2.97128492803	 2:-1.07819234965	 3:-0.913368200456	 
0.0 1:2.94339433917	 2:-1.21025556096	 3:-0.796705653468	 
0.0 1:2.91649508899	 2:-1.3156369915	 3:-0.660072486849	 
0.0 1:2.89056296328	 2:-1.39643591203	 3:-0.505544240791	 
0.0 1:2.86557374784	 2:-1.45475159333	 3:-0.335196455484	 
0.0 1:2.84150957718	 2:-1.49265258255	 3:-0.151130500673	 
0.0 1:2.81982153031	 2:-1.50509870544	 3:0.0385758982879	 
0.0 1:2.80530067244	 2:-1.47088645979	 3:0.212256384685	 
0.0 1:2.8021344744	 2:-1.37192491058	 3:0.350490184722	 
0.0 1:2.80762628635	 2:-1.22467557809	 3:0.460506615475	 
0.0 1:2.81634272733	 2:-1.05933605499	 3:0.560129540092	 
0.0 1:2.82348084938	 2:-0.902705836845	 3:0.664998769785	 
0.0 1:2.82877222116	 2:-0.757161332473	 3:0.775024687087	 
0.0 1:2.83391378592	 2:-0.61449336491	 3:0.88330014085	 
0.0 1:2.84061029712	 2:-0.466450752607	 3:0.982890820457	 
0.0 1:2.85018091975	 2:-0.307070982526	 3:1.06796755891	 
0.0 1:2.86269639172	 2:-0.137801607888	 3:1.13627933409	 
0.0 1:2.87797524547	 2:0.0384128471136	 3:1.18629797557	 
0.0 1:2.89567573128	 2:0.218629086938	 3:1.21799954575	 
0.0 1:2.91449237935	 2:0.399911203499	 3:1.24040452951	 
0.0 1:2.93276122865	 2:0.579326036743	 3:1.26589781807	 
0.0 1:2.9488177173	 2:0.75394043123	 3:1.3068699415	 
0.0 1:2.96130913144	 2:0.921491190426	 3:1.37352223198	 
0.0 1:2.97479417915	 2:1.09241492611	 3:1.43455736782	 
0.0 1:2.99735219543	 2:1.28008975758	 3:1.42889326816	 
0.0 1:3.02387534349	 2:1.43456296737	 3:1.34963292828	 
0.0 1:3.04626968006	 2:1.50282822579	 3:1.21452921047	 
0.0 1:3.06470784464	 2:1.5007980153	 3:1.03941696326	 
0.0 1:3.08071563199	 2:1.45564755597	 3:0.839796708777	 
0.0 1:3.09581883685	 2:1.39455206785	 3:0.631168969165	 
0.0 1:3.1115116606	 2:1.34416895291	 3:0.42876253317	 
0.0 1:3.12830248382	 2:1.31499792995	 3:0.239327185278	 
0.0 1:3.14554392327	 2:1.29859565413	 3:0.05967203248	 
0.0 1:3.16252274396	 2:1.28543946553	 3:-0.113960206196	 
0.0 1:3.17852571093	 2:1.26600670422	 3:-0.285326811724	 
0.0 1:3.19283390396	 2:1.23083990407	 3:-0.458060249498	 
0.0 1:3.20449538782	 2:1.17315362035	 3:-0.630677314394	 
0.0 1:3.21224840108	 2:1.08971523723	 3:-0.794892796799	 
0.0 1:3.21484616882	 2:0.977773194362	 3:-0.942034362575	 
0.0 1:3.21175754788	 2:0.839196820515	 3:-1.06507137627	 
0.0 1:3.20310509425	 2:0.680076429785	 3:-1.15847282424	 
0.0 1:3.18903798481	 2:0.506658631795	 3:-1.21678587114	 
0.0 1:3.17000458848	 2:0.325336159755	 3:-1.23720277923	 
0.0 1:3.14702541617	 2:0.142781177603	 3:-1.22197400553	 
0.0 1:3.1211854876	 2:-0.034302675036	 3:-1.1739203497	 
0.0 1:3.09388519055	 2:-0.20203044755	 3:-1.10191133784	 
0.0 1:3.06770552649	 2:-0.367069248722	 3:-1.03746054116	 
0.0 1:3.04550371572	 2:-0.53855496971	 3:-1.01737938001	 
0.0 1:3.54238562177	 2:-0.135151353524	 3:-0.960971726202	 
0.0 1:3.52946496169	 2:-0.0199628420719	 3:-1.08566931445	 
0.0 1:3.50946667991	 2:0.140856926979	 3:-1.18008469533	 
0.0 1:3.48451476574	 2:0.331595814238	 3:-1.24191356818	 
0.0 1:3.45673320854	 2:0.536541680314	 3:-1.26885163227	 
0.0 1:3.42824599763	 2:0.739982385817	 3:-1.25859458692	 
0.0 1:3.40117712235	 2:0.926205791354	 3:-1.20883813143	 
0.0 1:3.37765057205	 2:1.07949975754	 3:-1.11727796511	 
0.0 1:3.35963822398	 2:1.18536452597	 3:-0.982266660833	 
0.0 1:3.34688507965	 2:1.24704923819	 3:-0.811773226619	 
0.0 1:3.33744669284	 2:1.2812684651	 3:-0.621062301706	 
0.0 1:3.32933656781	 2:1.30507192544	 3:-0.425580109961	 
0.0 1:3.32084474692	 2:1.33311097411	 3:-0.238482131803	 
0.0 1:3.31207257618	 2:1.36432786291	 3:-0.0579196500825	 
0.0 1:3.30385042069	 2:1.39134219511	 3:0.123994988319	 
0.0 1:3.29701313985	 2:1.40679311314	 3:0.314856362924	 
0.0 1:3.29246446563	 2:1.40433499293	 3:0.51372746412	 
0.0 1:3.29118399518	 2:1.3787405214	 3:0.71027347442	 
0.0 1:3.2941552276	 2:1.32483990281	 3:0.893676225129	 
0.0 1:3.30236166199	 2:1.23746334142	 3:1.05311754755	 
0.0 1:3.3167301288	 2:1.11178994006	 3:1.17811463695	 
0.0 1:3.33677077155	 2:0.951721086657	 3:1.26656861463	 
0.0 1:3.36051108347	 2:0.770286578769	 3:1.32515489801	 
0.0 1:3.38590868787	 2:0.580946390244	 3:1.36096239316	 
0.0 1:3.41119439109	 2:0.395209478318	 3:1.38098213575	 
0.0 1:3.43609819665	 2:0.213877843154	 3:1.39166805977	 
0.0 1:3.46086171837	 2:0.034099669935	 3:1.39929080996	 
0.0 1:3.48572700769	 2:-0.146979981824	 3:1.41012087426	 
0.0 1:3.51093611609	 2:-0.332216052612	 3:1.43042874063	 
0.0 1:3.53671945871	 2:-0.524324226483	 3:1.46617211231	 
0.0 1:3.56282077844	 2:-0.720195983724	 3:1.51022691372	 
0.0 1:3.58833101568	 2:-0.908910452987	 3:1.53792169969	 
0.0 1:3.61229534748	 2:-1.07899909493	 3:1.52335490471	 
0.0 1:3.63380416641	 2:-1.21981610567	 3:1.4434299911	 
0.0 1:3.65238911829	 2:-1.32874467248	 3:1.30242440126	 
0.0 1:3.66783099205	 2:-1.40770136096	 3:1.12007164215	 
0.0 1:3.6799133893	 2:-1.45865391556	 3:0.916279709727	 
0.0 1:3.68842441465	 2:-1.48357109312	 3:0.710779175945	 
0.0 1:3.6933656633	 2:-1.48446964664	 3:0.514888791101	 
0.0 1:3.69504060661	 2:-1.46343419587	 3:0.328032974374	 
0.0 1:3.69377556373	 2:-1.42255449708	 3:0.14873591024	 
0.0 1:3.68989685381	 2:-1.36392030657	 3:-0.0244782168236	 
0.0 1:3.68373053361	 2:-1.28961993058	 3:-0.193082735654	 
0.0 1:3.67544022433	 2:-1.2008440127	 3:-0.357011550851	 
0.0 1:3.66475054149	 2:-1.09635713268	 3:-0.512038049536	 
0.0 1:3.65131266833	 2:-0.974518063723	 3:-0.653239690979	 
0.0 1:3.63480305052	 2:-0.833874726002	 3:-0.775653721105	 
0.0 1:3.61528547998	 2:-0.675875207361	 3:-0.873700799569	 
0.0 1:3.59312678144	 2:-0.504236485876	 3:-0.941319211646	 
0.0 1:3.56870186025	 2:-0.322736041334	 3:-0.972434379727	 
0.0 1:3.8563472609	 2:0.477137424689	 3:-0.985193821338	 
0.0 1:3.84705443716	 2:0.757414294331	 3:-1.04026643657	 
0.0 1:3.84481423258	 2:0.992845071375	 3:-1.04771474271	 
0.0 1:3.84890380657	 2:1.18671146701	 3:-1.01246551762	 
0.0 1:3.85860031852	 2:1.34229519245	 3:-0.939445539151	 
0.0 1:3.87318092782	 2:1.46287795889	 3:-0.833581585174	 
0.0 1:3.89192279385	 2:1.5517414775	 3:-0.69980043355	 
0.0 1:3.914103076	 2:1.6121674595	 3:-0.543028862138	 
0.0 1:3.93899893368	 2:1.64743761609	 3:-0.368193648803	 
0.0 1:3.96588752625	 2:1.66083365845	 3:-0.180221571405	 
0.0 1:3.99404601313	 2:1.6556372978	 3:0.0159605921939	 
0.0 1:4.02275155369	 2:1.63513024531	 3:0.215426064131	 
0.0 1:4.05128151082	 2:1.60259002385	 3:0.413249340242	 
0.0 1:4.07899123978	 2:1.5596889625	 3:0.604993065014	 
0.0 1:4.1054314975	 2:1.50407774524	 3:0.787442888321	 
0.0 1:4.13018314842	 2:1.43278740076	 3:0.957572900756	 
0.0 1:4.15282705697	 2:1.3428489578	 3:1.1123571929	 
0.0 1:4.17295579512	 2:1.23141886485	 3:1.2488558518	 
0.0 1:4.1904194212	 2:1.09841195875	 3:1.36602030592	 
0.0 1:4.20531909724	 2:0.946433088774	 3:1.46464644185	 
0.0 1:4.217766416	 2:0.778198846003	 3:1.54560676411	 
0.0 1:4.22787297027	 2:0.59642582154	 3:1.60977377724	 
0.0 1:4.23575035279	 2:0.403830606487	 3:1.65801998575	 
0.0 1:4.24151015634	 2:0.203129791941	 3:1.69121789416	 
0.0 1:4.24526397369	 2:-0.00296003099691	 3:1.710240007	 
0.0 1:4.24703737941	 2:-0.211238774982	 3:1.71537576894	 
0.0 1:4.24622239591	 2:-0.414945244429	 3:1.70262019792	 
0.0 1:4.24192793492	 2:-0.605726918072	 3:1.66604929364	 
0.0 1:4.23326159081	 2:-0.775223870128	 3:1.59973012652	 
0.0 1:4.21933095799	 2:-0.915076174811	 3:1.49772976698	 
0.0 1:4.19972950989	 2:-1.02056914775	 3:1.35737699609	 
0.0 1:4.17610531029	 2:-1.10240238927	 3:1.18979307966	 
0.0 1:4.15064940797	 2:-1.17534917043	 3:1.00974434668	 
0.0 1:4.12537066552	 2:-1.2524042878	 3:0.830788400533	 
0.0 1:4.10065905786	 2:-1.33075925721	 3:0.655742227547	 
0.0 1:4.07605673466	 2:-1.3993292825	 3:0.481797861928	 
0.0 1:4.05109840153	 2:-1.44695690003	 3:0.306097949815	 
0.0 1:4.0253187641	 2:-1.46248464619	 3:0.125785137344	 
0.0 1:3.99849698413	 2:-1.43640117334	 3:-0.0603503700242	 
