0.0 1:4.05199857798	 2:1.27283407268	 3:-0.306668984151	 
0.0 1:4.05348680242	 2:1.3770999737	 3:-0.141551310741	 
0.0 1:4.05402873087	 2:1.46046770347	 3:0.0349547154094	 
0.0 1:4.05357437488	 2:1.52046291724	 3:0.219937788045	 
0.0 1:4.05207374606	 2:1.55461127025	 3:0.410486600907	 
0.0 1:4.04947685597	 2:1.56043841774	 3:0.603689847736	 
0.0 1:4.0457337356	 2:1.53547040583	 3:0.79663589221	 
0.0 1:4.04085012954	 2:1.47835553937	 3:0.985465419012	 
0.0 1:4.03500961743	 2:1.39132431737	 3:1.16329416848	 
0.0 1:4.02843118476	 2:1.27732043185	 3:1.32263563302	 
0.0 1:4.02133381706	 2:1.13928757481	 3:1.45600330502	 
0.0 1:4.01393013515	 2:0.980267178106	 3:1.55659813417	 
0.0 1:4.00635689197	 2:0.8044657489	 3:1.62581567461	 
0.0 1:3.99870098637	 2:0.616855385368	 3:1.67043629612	 
0.0 1:3.99104844455	 2:0.422421586216	 3:1.69733462165	 
0.0 1:3.98348529273	 2:0.226149850143	 3:1.71338527414	 
0.0 1:3.97609473112	 2:0.0328665347815	 3:1.7252489232	 
0.0 1:3.96889387332	 2:-0.156323547455	 3:1.73458289815	 
0.0 1:3.96183313583	 2:-0.344071507161	 3:1.73799496964	 
0.0 1:3.95485998707	 2:-0.533194471747	 3:1.73186971105	 
0.0 1:3.94792189545	 2:-0.726509568623	 3:1.71259169582	 
0.0 1:3.94098726071	 2:-0.926282119322	 3:1.67652316117	 
0.0 1:3.93440379127	 2:-1.12477786468	 3:1.61962157886	 
0.0 1:3.92884918962	 2:-1.3055630268	 3:1.53749227925	 
0.0 1:3.9250121667	 2:-1.45191361643	 3:1.42572884553	 
0.0 1:3.92354183108	 2:-1.5480049663	 3:1.28033805151	 
0.0 1:3.92437346417	 2:-1.59422256934	 3:1.10477437791	 
0.0 1:3.92682336416	 2:-1.60500828585	 3:0.908950459068	 
0.0 1:3.93018731663	 2:-1.59526979333	 3:0.702992947547	 
0.0 1:3.93376228281	 2:-1.57988829582	 3:0.497015653017	 
0.0 1:3.93712572098	 2:-1.56742889677	 3:0.298068293882	 
0.0 1:3.94049700752	 2:-1.55200228691	 3:0.106188407658	 
0.0 1:3.94418492458	 2:-1.52570596005	 3:-0.0795631180399	 
0.0 1:3.9484982543	 2:-1.48063741002	 3:-0.260125395598	 
0.0 1:3.95372480952	 2:-1.40923353067	 3:-0.435868109241	 
0.0 1:3.95989865023	 2:-1.30803835011	 3:-0.6002702013	 
