0.0 1:3.50898428988	 2:0.653666770583	 3:-1.23585824208	 
0.0 1:3.48596198808	 2:0.844997283466	 3:-1.22557592006	 
0.0 1:3.46254848113	 2:1.02896574662	 3:-1.19716847826	 
0.0 1:3.43704695378	 2:1.17363996718	 3:-1.07201992774	 
0.0 1:3.41154542644	 2:1.31831418773	 3:-0.946871377227	 
0.0 1:3.38708500563	 2:1.44213847894	 3:-0.801557636401	 
0.0 1:3.36286713667	 2:1.56110525644	 3:-0.651545908984	 
0.0 1:3.3508527245	 2:1.55359523584	 3:-0.46460330721	 
0.0 1:3.34029835816	 2:1.53095327964	 3:-0.273242222198	 
0.0 1:3.33321959483	 2:1.48162902677	 3:-0.0871581561628	 
0.0 1:3.32675493134	 2:1.42759031323	 3:0.0979935201773	 
0.0 1:3.32029026784	 2:1.37355159969	 3:0.283145196517	 
0.0 1:3.31382560434	 2:1.31951288615	 3:0.468296872858	 
0.0 1:3.30736094084	 2:1.26547417261	 3:0.653448549198	 
0.0 1:3.30556833625	 2:1.17988216603	 3:0.824209867797	 
0.0 1:3.30665440634	 2:1.07484869523	 3:0.986104611846	 
0.0 1:3.31254503521	 2:0.94358673257	 3:1.12268143561	 
0.0 1:3.32314595181	 2:0.786610911758	 3:1.23443710631	 
0.0 1:3.33374686841	 2:0.629635090947	 3:1.34619277702	 
0.0 1:3.34623450078	 2:0.465732533268	 3:1.44230143985	 
0.0 1:3.3650007397	 2:0.278779203406	 3:1.48634004129	 
0.0 1:3.38376697862	 2:0.0918258735426	 3:1.53037864273	 
0.0 1:3.40415719501	 2:-0.0960941356758	 3:1.55250024762	 
0.0 1:3.4279839927	 2:-0.286059784235	 3:1.52824218162	 
0.0 1:3.45181079039	 2:-0.476025432794	 3:1.50398411562	 
0.0 1:3.47582105618	 2:-0.665443120487	 3:1.47613849808	 
0.0 1:3.50000063928	 2:-0.854355111223	 3:1.44498203479	 
0.0 1:3.52425772101	 2:-0.998905908129	 3:1.33767248457	 
0.0 1:3.54855715232	 2:-1.11921527348	 3:1.18874863848	 
0.0 1:3.57285658363	 2:-1.23952463883	 3:1.03982479239	 
0.0 1:3.58759786088	 2:-1.25508583014	 3:0.852356335972	 
0.0 1:3.6010906065	 2:-1.25696431581	 3:0.659852998873	 
0.0 1:3.61458335212	 2:-1.25884280147	 3:0.467349661775	 
0.0 1:3.62880692027	 2:-1.26716090896	 3:0.275138953714	 
0.0 1:3.64349342195	 2:-1.27955814189	 3:0.0831136091075	 
0.0 1:3.65817992362	 2:-1.29195537481	 3:-0.108911735499	 
0.0 1:3.6728664253	 2:-1.30435260773	 3:-0.300937080105	 
0.0 1:3.68755292697	 2:-1.31674984065	 3:-0.492962424712	 
0.0 1:3.70052080061	 2:-1.31810643784	 3:-0.678736413693	 
0.0 1:3.67878592991	 2:-1.14737086886	 3:-0.652292521671	 
0.0 1:3.65292918577	 2:-0.976845757893	 3:-0.565714620337	 
0.0 1:3.62857434862	 2:-0.80679787173	 3:-0.500111197393	 
0.0 1:4.07799602947	 2:-0.0597099852229	 3:-0.823814808136	 
0.0 1:4.0816798691	 2:0.12928106004	 3:-0.91345737448	 
0.0 1:4.08536370873	 2:0.318272105304	 3:-1.00309994082	 
0.0 1:4.08904754836	 2:0.507263150567	 3:-1.09274250717	 
0.0 1:4.09333406013	 2:0.693374102075	 3:-1.18811092124	 
0.0 1:4.09785587214	 2:0.878360583523	 3:-1.2857148682	 
0.0 1:4.08889502678	 2:1.07290474325	 3:-1.24070933091	 
0.0 1:4.07917966417	 2:1.27409310685	 3:-1.189338955	 
0.0 1:4.06894930189	 2:1.45464881017	 3:-1.12696752632	 
0.0 1:4.0492669411	 2:1.54349831424	 3:-0.938591981555	 
0.0 1:4.02965680697	 2:1.61548891868	 3:-0.746534864575	 
0.0 1:4.01036534217	 2:1.61309680736	 3:-0.538234377888	 
0.0 1:3.99107387737	 2:1.61070469603	 3:-0.3299338912	 
0.0 1:3.97178241257	 2:1.60831258471	 3:-0.121633404513	 
0.0 1:3.95249094777	 2:1.60592047339	 3:0.0866670821751	 
0.0 1:3.94048936681	 2:1.47883572216	 3:0.249474221682	 
0.0 1:3.9288863911	 2:1.34493287333	 3:0.409793819969	 
0.0 1:3.93163358202	 2:1.14114555723	 3:0.434121474213	 
0.0 1:3.93537766235	 2:0.932503448401	 3:0.449001926133	 
0.0 1:3.93912174267	 2:0.723861339568	 3:0.463882378053	 
0.0 1:3.94358740809	 2:0.514887439356	 3:0.471082903857	 
0.0 1:3.92970467611	 2:0.429652336716	 3:0.643071191598	 
0.0 1:3.91296444206	 2:0.363395354321	 3:0.840800178884	 
0.0 1:3.89622420802	 2:0.297138371927	 3:1.03852916617	 
0.0 1:3.87812554241	 2:0.259060395234	 3:1.24342815751	 
0.0 1:3.86001744195	 2:0.221178132812	 3:1.44837694735	 
0.0 1:3.8419093415	 2:0.183295870389	 3:1.65332573719	 
0.0 1:3.82820629725	 2:0.0947817814137	 3:1.82424700301	 
0.0 1:3.82797106512	 2:-0.092807555431	 3:1.87639542992	 
0.0 1:3.83695159285	 2:-0.297443775774	 3:1.83384730411	 
0.0 1:3.84593212058	 2:-0.502079996117	 3:1.79129917829	 
0.0 1:3.85491264831	 2:-0.70671621646	 3:1.74875105247	 
0.0 1:3.86748874	 2:-0.892639518981	 3:1.66254813061	 
0.0 1:3.88261692314	 2:-1.06528059985	 3:1.54535951837	 
0.0 1:3.90165043415	 2:-1.15995927394	 3:1.3655104582	 
0.0 1:3.92150048754	 2:-1.23833724004	 3:1.17256008796	 
0.0 1:3.94135054092	 2:-1.31671520615	 3:0.979609717722	 
0.0 1:3.96120059431	 2:-1.39509317226	 3:0.786659347485	 
0.0 1:3.97992686083	 2:-1.38493696497	 3:0.582389523772	 
